epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.2046,1.08265,2.83922,1.27988,0.00333,1,0.93617,0.85853,0.50246,2.74841,0.80423,0.00016,0.00016,0.00016
2,114.95,0.71604,1.39879,1.00027,0.96889,0.77143,0.94835,0.82372,0.48802,2.208,0.78271,0.00032878,0.00032878,0.00032878
3,212.002,0.67227,1.21369,0.94431,0.99193,0.94286,0.94548,0.84939,0.53632,2.25237,0.82265,0.00048568,0.00048568,0.00048568
4,313.959,0.64632,1.12311,0.97567,1,0.9198,0.94532,0.83341,0.69309,2.09219,0.84424,0.0006307,0.0006307,0.0006307
5,435.054,0.7277,1.16253,0.99734,0.96671,0.94286,0.94465,0.82661,0.69779,1.9571,0.8443,0.00076384,0.00076384,0.00076384
6,539.166,0.68763,1.05637,0.95931,0.99053,0.94286,0.96019,0.82979,0.66791,1.898,0.85713,0.0008851,0.0008851,0.0008851
7,639.418,0.64989,1.08489,0.97479,0.99015,0.94286,0.98544,0.85773,0.71445,1.81523,0.88445,0.00099448,0.00099448,0.00099448
8,737.181,0.64182,0.99343,0.9302,0.98959,0.91429,0.98506,0.85547,0.79753,1.43757,0.87945,0.00109198,0.00109198,0.00109198
9,833.072,0.70332,0.96576,0.98734,0.99615,0.94286,0.96599,0.8512,0.84802,1.33495,0.88949,0.0011776,0.0011776,0.0011776
10,930.267,0.6976,0.97871,0.98151,1,0.99557,0.995,0.8243,0.91669,1.37953,0.94424,0.00125134,0.00125134,0.00125134
11,1027.24,0.69932,0.96632,0.98264,0.91843,1,0.98395,0.89471,0.85814,1.40438,0.9618,0.0013132,0.0013132,0.0013132
12,1123.56,0.68588,0.92686,0.95296,0.94548,0.99123,0.97843,0.84208,0.77483,1.2142,0.99408,0.001274,0.001274,0.001274
13,1218.8,0.60821,0.86697,0.94494,0.99753,0.94286,0.99175,0.88694,0.60494,1.03473,0.81352,0.001208,0.001208,0.001208
14,1314.92,0.59418,0.7974,0.93605,0.9974,0.94286,0.99128,0.90228,0.54364,0.89978,0.81344,0.001142,0.001142,0.001142
15,1410.26,0.59048,0.77278,0.9456,0.99629,0.94286,0.99175,0.91823,0.45504,0.77575,0.79276,0.001076,0.001076,0.001076
16,1507.2,0.60837,0.79704,0.92963,0.99255,0.94286,0.99256,0.9086,0.50535,0.79548,0.80681,0.00101,0.00101,0.00101
17,1603.55,0.55645,0.73191,0.89512,0.99377,1,0.995,0.88462,0.54989,0.82585,0.81782,0.000944,0.000944,0.000944
18,1698.58,0.53656,0.71983,0.90677,0.99774,1,0.995,0.91748,0.49425,0.70654,0.78968,0.000878,0.000878,0.000878
19,1793.06,0.51543,0.65559,0.90392,0.99811,1,0.995,0.93203,0.42728,0.65413,0.78859,0.000812,0.000812,0.000812
20,1888.98,0.48839,0.66685,0.90402,0.99224,1,0.995,0.93957,0.47684,0.71342,0.79342,0.000746,0.000746,0.000746
21,1981.86,0.3745,0.78625,0.83694,1,0.97655,0.995,0.94511,0.4555,0.74337,0.78857,0.00068,0.00068,0.00068
22,2075.97,0.3633,0.73992,0.80959,0.97132,1,0.995,0.95321,0.40389,0.73099,0.77819,0.000614,0.000614,0.000614
23,2170.94,0.35405,0.71714,0.80693,0.9966,1,0.995,0.95073,0.32798,0.58663,0.76275,0.000548,0.000548,0.000548
24,2267.65,0.34008,0.65541,0.78362,0.99774,1,0.995,0.94667,0.41277,0.54633,0.77703,0.000482,0.000482,0.000482
25,2364.61,0.35786,0.6432,0.78868,0.99782,1,0.995,0.94689,0.40924,0.50487,0.77871,0.000416,0.000416,0.000416
26,2459.03,0.30492,0.59938,0.79646,0.99784,1,0.995,0.94184,0.438,0.522,0.77981,0.00035,0.00035,0.00035
27,2552.51,0.31048,0.58509,0.79832,0.99788,1,0.995,0.94714,0.40714,0.50469,0.77468,0.000284,0.000284,0.000284
28,2657.65,0.29925,0.56456,0.76482,0.99791,1,0.995,0.9666,0.35068,0.5352,0.766,0.000218,0.000218,0.000218
29,2759.18,0.29032,0.55874,0.76841,0.99798,1,0.995,0.96452,0.34198,0.54118,0.76401,0.000152,0.000152,0.000152
30,2854.2,0.27991,0.55452,0.77956,0.99816,1,0.995,0.95067,0.33681,0.53459,0.76348,8.6e-05,8.6e-05,8.6e-05
